city,year,weekofyear,total_cases
sj,2008,18,18
sj,2008,19,18
sj,2008,20,18
sj,2008,21,20
sj,2008,22,18
sj,2008,23,14
sj,2008,24,14
sj,2008,25,14
sj,2008,26,14
sj,2008,27,14
sj,2008,28,14
sj,2008,29,14
sj,2008,30,14
sj,2008,31,22
sj,2008,32,27
sj,2008,33,38
sj,2008,34,28
sj,2008,35,3
sj,2008,36,3
sj,2008,37,3
sj,2008,38,3
sj,2008,39,6
sj,2008,40,17
sj,2008,41,17
sj,2008,42,36
sj,2008,43,27
sj,2008,44,36
sj,2008,45,36
sj,2008,46,36
sj,2008,47,36
sj,2008,48,30
sj,2008,49,30
sj,2008,50,30
sj,2008,51,30
sj,2008,52,47
sj,2009,1,47
sj,2009,2,53
sj,2009,3,127
sj,2009,4,127
sj,2009,5,127
sj,2009,6,127
sj,2009,7,127
sj,2009,8,127
sj,2009,9,116
sj,2009,10,116
sj,2009,11,116
sj,2009,12,116
sj,2009,13,116
sj,2009,14,116
sj,2009,15,116
sj,2009,16,116
sj,2009,17,116
sj,2009,18,116
sj,2009,19,116
sj,2009,20,116
sj,2009,21,116
sj,2009,22,116
sj,2009,23,116
sj,2009,24,116
sj,2009,25,6
sj,2009,26,6
sj,2009,27,16
sj,2009,28,16
sj,2009,29,16
sj,2009,30,6
sj,2009,31,16
sj,2009,32,6
sj,2009,33,6
sj,2009,34,34
sj,2009,35,34
sj,2009,36,27
sj,2009,37,5
sj,2009,38,5
sj,2009,39,5
sj,2009,40,5
sj,2009,41,426
sj,2009,42,426
sj,2009,43,426
sj,2009,44,426
sj,2009,45,426
sj,2009,46,426
sj,2009,47,27
sj,2009,48,27
sj,2009,49,27
sj,2009,50,12
sj,2009,51,12
sj,2009,52,12
sj,2010,53,12
sj,2010,1,17
sj,2010,2,17
sj,2010,3,17
sj,2010,4,17
sj,2010,5,17
sj,2010,6,17
sj,2010,7,353
sj,2010,8,353
sj,2010,9,221
sj,2010,10,221
sj,2010,11,221
sj,2010,12,221
sj,2010,13,221
sj,2010,14,221
sj,2010,15,221
sj,2010,16,221
sj,2010,17,221
sj,2010,18,221
sj,2010,19,221
sj,2010,20,221
sj,2010,21,221
sj,2010,22,221
sj,2010,23,221
sj,2010,24,221
sj,2010,25,102
sj,2010,26,102
sj,2010,27,102
sj,2010,28,102
sj,2010,29,102
sj,2010,30,102
sj,2010,31,2
sj,2010,32,2
sj,2010,33,2
sj,2010,34,102
sj,2010,35,2
sj,2010,36,102
sj,2010,37,2
sj,2010,38,2
sj,2010,39,2
sj,2010,40,2
sj,2010,41,256
sj,2010,42,256
sj,2010,43,256
sj,2010,44,256
sj,2010,45,256
sj,2010,46,256
sj,2010,47,256
sj,2010,48,256
sj,2010,49,329
sj,2010,50,329
sj,2010,51,329
sj,2011,52,53
sj,2011,1,23
sj,2011,2,23
sj,2011,3,23
sj,2011,4,7
sj,2011,5,7
sj,2011,6,7
sj,2011,7,7
sj,2011,8,7
sj,2011,9,21
sj,2011,10,21
sj,2011,11,7
sj,2011,12,8
sj,2011,13,8
sj,2011,14,11
sj,2011,15,11
sj,2011,16,11
sj,2011,17,8
sj,2011,18,8
sj,2011,19,3
sj,2011,20,7
sj,2011,21,9
sj,2011,22,11
sj,2011,23,10
sj,2011,24,9
sj,2011,25,9
sj,2011,26,9
sj,2011,27,10
sj,2011,28,10
sj,2011,29,24
sj,2011,30,19
sj,2011,31,19
sj,2011,32,19
sj,2011,33,23
sj,2011,34,112
sj,2011,35,112
sj,2011,36,112
sj,2011,37,112
sj,2011,38,112
