city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,5
sj,2008,20,5
sj,2008,21,4
sj,2008,22,3
sj,2008,23,4
sj,2008,24,5
sj,2008,25,6
sj,2008,26,6
sj,2008,27,6
sj,2008,28,6
sj,2008,29,6
sj,2008,30,8
sj,2008,31,14
sj,2008,32,47
sj,2008,33,73
sj,2008,34,73
sj,2008,35,77
sj,2008,36,92
sj,2008,37,52
sj,2008,38,76
sj,2008,39,42
sj,2008,40,40
sj,2008,41,53
sj,2008,42,78
sj,2008,43,62
sj,2008,44,46
sj,2008,45,87
sj,2008,46,88
sj,2008,47,84
sj,2008,48,83
sj,2008,49,78
sj,2008,50,76
sj,2008,51,76
sj,2008,52,78
sj,2009,1,37
sj,2009,2,37
sj,2009,3,39
sj,2009,4,39
sj,2009,5,39
sj,2009,6,18
sj,2009,7,18
sj,2009,8,18
sj,2009,9,18
sj,2009,10,11
sj,2009,11,11
sj,2009,12,12
sj,2009,13,13
sj,2009,14,9
sj,2009,15,11
sj,2009,16,18
sj,2009,17,19
sj,2009,18,19
sj,2009,19,19
sj,2009,20,18
sj,2009,21,15
sj,2009,22,15
sj,2009,23,18
sj,2009,24,11
sj,2009,25,12
sj,2009,26,10
sj,2009,27,12
sj,2009,28,13
sj,2009,29,13
sj,2009,30,11
sj,2009,31,13
sj,2009,32,76
sj,2009,33,76
sj,2009,34,76
sj,2009,35,63
sj,2009,36,76
sj,2009,37,293
sj,2009,38,317
sj,2009,39,293
sj,2009,40,373
sj,2009,41,371
sj,2009,42,371
sj,2009,43,371
sj,2009,44,371
sj,2009,45,371
sj,2009,46,373
sj,2009,47,78
sj,2009,48,75
sj,2009,49,79
sj,2009,50,86
sj,2009,51,76
sj,2009,52,82
sj,2010,53,37
sj,2010,1,38
sj,2010,2,38
sj,2010,3,37
sj,2010,4,37
sj,2010,5,16
sj,2010,6,16
sj,2010,7,141
sj,2010,8,132
sj,2010,9,92
sj,2010,10,76
sj,2010,11,88
sj,2010,12,79
sj,2010,13,81
sj,2010,14,78
sj,2010,15,57
sj,2010,16,82
sj,2010,17,82
sj,2010,18,92
sj,2010,19,75
sj,2010,20,76
sj,2010,21,76
sj,2010,22,76
sj,2010,23,100
sj,2010,24,95
sj,2010,25,84
sj,2010,26,110
sj,2010,27,106
sj,2010,28,106
sj,2010,29,121
sj,2010,30,103
sj,2010,31,97
sj,2010,32,100
sj,2010,33,88
sj,2010,34,88
sj,2010,35,92
sj,2010,36,97
sj,2010,37,87
sj,2010,38,87
sj,2010,39,87
sj,2010,40,96
sj,2010,41,99
sj,2010,42,109
sj,2010,43,124
sj,2010,44,108
sj,2010,45,109
sj,2010,46,123
sj,2010,47,121
sj,2010,48,124
sj,2010,49,118
sj,2010,50,112
sj,2010,51,42
sj,2011,52,23
sj,2011,1,24
sj,2011,2,24
sj,2011,3,24
sj,2011,4,24
sj,2011,5,27
sj,2011,6,28
sj,2011,7,19
sj,2011,8,19
