city,year,weekofyear,total_cases
sj,2008,18,13
sj,2008,19,10
sj,2008,20,9
sj,2008,21,12
sj,2008,22,10
sj,2008,23,10
sj,2008,24,9
sj,2008,25,10
sj,2008,26,10
sj,2008,27,10
sj,2008,28,12
sj,2008,29,13
sj,2008,30,28
sj,2008,31,28
sj,2008,32,33
sj,2008,33,35
sj,2008,34,36
sj,2008,35,36
sj,2008,36,41
sj,2008,37,34
sj,2008,38,38
sj,2008,39,32
sj,2008,40,34
sj,2008,41,46
sj,2008,42,33
sj,2008,43,35
sj,2008,44,36
sj,2008,45,39
sj,2008,46,39
sj,2008,47,31
sj,2008,48,30
sj,2008,49,34
sj,2008,50,32
sj,2008,51,31
sj,2008,52,49
sj,2009,1,42
sj,2009,2,51
sj,2009,3,51
sj,2009,4,48
sj,2009,5,52
sj,2009,6,51
sj,2009,7,39
sj,2009,8,35
sj,2009,9,32
sj,2009,10,33
sj,2009,11,31
sj,2009,12,23
sj,2009,13,25
sj,2009,14,31
sj,2009,15,25
sj,2009,16,30
sj,2009,17,32
sj,2009,18,30
sj,2009,19,28
sj,2009,20,38
sj,2009,21,38
sj,2009,22,40
sj,2009,23,41
sj,2009,24,35
sj,2009,25,15
sj,2009,26,14
sj,2009,27,15
sj,2009,28,13
sj,2009,29,14
sj,2009,30,15
sj,2009,31,16
sj,2009,32,20
sj,2009,33,23
sj,2009,34,23
sj,2009,35,25
sj,2009,36,27
sj,2009,37,94
sj,2009,38,120
sj,2009,39,122
sj,2009,40,127
sj,2009,41,129
sj,2009,42,129
sj,2009,43,129
sj,2009,44,129
sj,2009,45,129
sj,2009,46,125
sj,2009,47,35
sj,2009,48,39
sj,2009,49,40
sj,2009,50,39
sj,2009,51,41
sj,2009,52,37
sj,2010,53,51
sj,2010,1,35
sj,2010,2,38
sj,2010,3,30
sj,2010,4,31
sj,2010,5,28
sj,2010,6,27
sj,2010,7,32
sj,2010,8,34
sj,2010,9,21
sj,2010,10,27
sj,2010,11,30
sj,2010,12,23
sj,2010,13,24
sj,2010,14,23
sj,2010,15,35
sj,2010,16,22
sj,2010,17,21
sj,2010,18,28
sj,2010,19,51
sj,2010,20,53
sj,2010,21,53
sj,2010,22,37
sj,2010,23,44
sj,2010,24,49
sj,2010,25,55
sj,2010,26,93
sj,2010,27,97
sj,2010,28,98
sj,2010,29,106
sj,2010,30,146
sj,2010,31,158
sj,2010,32,174
sj,2010,33,174
sj,2010,34,166
sj,2010,35,161
sj,2010,36,152
sj,2010,37,140
sj,2010,38,138
sj,2010,39,140
sj,2010,40,141
sj,2010,41,97
sj,2010,42,95
sj,2010,43,146
sj,2010,44,128
sj,2010,45,130
sj,2010,46,137
sj,2010,47,138
sj,2010,48,147
sj,2010,49,140
sj,2010,50,92
sj,2010,51,57
sj,2011,52,45
sj,2011,1,31
sj,2011,2,32
sj,2011,3,34
sj,2011,4,34
sj,2011,5,34
sj,2011,6,28
sj,2011,7,28
sj,2011,8,28
sj,2011,9,19
sj,2011,10,20
sj,2011,11,16
sj,2011,12,14
sj,2011,13,13
sj,2011,14,12
sj,2011,15,11
sj,2011,16,11
sj,2011,17,8
sj,2011,18,8
sj,2011,19,9
sj,2011,20,10
sj,2011,21,11
sj,2011,22,12
sj,2011,23,11
sj,2011,24,14
sj,2011,25,13
sj,2011,26,14
sj,2011,27,15
sj,2011,28,17
sj,2011,29,15
sj,2011,30,18
sj,2011,31,18
sj,2011,32,21
sj,2011,33,18
sj,2011,34,37
sj,2011,35,36
sj,2011,36,36
sj,2011,37,36
sj,2011,38,34
sj,2011,39,33
sj,2011,40,33
sj,2011,41,27
sj,2011,42,29
sj,2011,43,27
sj,2011,44,23
sj,2011,45,24
sj,2011,46,26
sj,2011,47,26
sj,2011,48,24
sj,2011,49,21
sj,2011,50,25
sj,2011,51,25
sj,2012,52,27
sj,2012,1,19
sj,2012,2,21
sj,2012,3,21
sj,2012,4,16
sj,2012,5,17
sj,2012,6,16
sj,2012,7,15
sj,2012,8,16
sj,2012,9,21
sj,2012,10,21
sj,2012,11,20
sj,2012,12,21
sj,2012,13,23
sj,2012,14,26
sj,2012,15,25
sj,2012,16,26
sj,2012,17,22
sj,2012,18,22
sj,2012,19,22
sj,2012,20,15
sj,2012,21,11
sj,2012,22,10
sj,2012,23,12
sj,2012,24,12
sj,2012,25,13
sj,2012,26,15
sj,2012,27,16
sj,2012,28,16
sj,2012,29,15
sj,2012,30,24
sj,2012,31,25
sj,2012,32,28
sj,2012,33,32
sj,2012,34,35
sj,2012,35,33
sj,2012,36,41
sj,2012,37,43
sj,2012,38,48
sj,2012,39,48
sj,2012,40,49
sj,2012,41,51
sj,2012,42,54
sj,2012,43,50
sj,2012,44,53
sj,2012,45,58
sj,2012,46,64
sj,2012,47,67
sj,2012,48,64
sj,2012,49,63
sj,2012,50,55
sj,2012,51,51
sj,2013,1,50
sj,2013,2,51
sj,2013,3,51
sj,2013,4,52
sj,2013,5,62
sj,2013,6,59
sj,2013,7,50
sj,2013,8,45
sj,2013,9,32
sj,2013,10,35
sj,2013,11,27
sj,2013,12,108
sj,2013,13,116
sj,2013,14,113
sj,2013,15,110
sj,2013,16,109
sj,2013,17,111
iq,2010,26,2
iq,2010,27,2
iq,2010,28,2
iq,2010,29,3
iq,2010,30,3
iq,2010,31,3
iq,2010,32,3
iq,2010,33,4
iq,2010,34,4
iq,2010,35,3
iq,2010,36,3
iq,2010,37,4
iq,2010,38,5
iq,2010,39,2
iq,2010,40,4
iq,2010,41,5
iq,2010,42,5
iq,2010,43,4
iq,2010,44,4
iq,2010,45,5
iq,2010,46,72
iq,2010,47,4
iq,2010,48,72
iq,2010,49,74
iq,2010,50,7
iq,2010,51,6
iq,2011,52,6
iq,2011,1,5
iq,2011,2,7
iq,2011,3,7
iq,2011,4,8
iq,2011,5,9
iq,2011,6,7
iq,2011,7,6
iq,2011,8,6
iq,2011,9,6
iq,2011,10,6
iq,2011,11,5
iq,2011,12,5
iq,2011,13,5
iq,2011,14,5
iq,2011,15,6
iq,2011,16,4
iq,2011,17,4
iq,2011,18,4
iq,2011,19,5
iq,2011,20,5
iq,2011,21,7
iq,2011,22,5
iq,2011,23,5
iq,2011,24,5
iq,2011,25,4
iq,2011,26,3
iq,2011,27,5
iq,2011,28,5
iq,2011,29,7
iq,2011,30,-1
iq,2011,31,6
iq,2011,32,6
iq,2011,33,3
iq,2011,34,5
iq,2011,35,7
iq,2011,36,7
iq,2011,37,27
iq,2011,38,74
iq,2011,39,15
iq,2011,40,12
iq,2011,41,14
iq,2011,42,16
iq,2011,43,16
iq,2011,44,14
iq,2011,45,16
iq,2011,46,13
iq,2011,47,14
iq,2011,48,14
iq,2011,49,14
iq,2011,50,15
iq,2011,51,12
iq,2012,52,11
iq,2012,1,18
iq,2012,2,14
iq,2012,3,13
iq,2012,4,13
iq,2012,5,10
iq,2012,6,8
iq,2012,7,8
iq,2012,8,7
iq,2012,9,9
iq,2012,10,7
iq,2012,11,6
iq,2012,12,6
iq,2012,13,7
iq,2012,14,6
iq,2012,15,6
iq,2012,16,6
iq,2012,17,5
iq,2012,18,4
iq,2012,19,5
iq,2012,20,5
iq,2012,21,5
iq,2012,22,4
iq,2012,23,5
iq,2012,24,6
iq,2012,25,7
iq,2012,26,6
iq,2012,27,6
iq,2012,28,6
iq,2012,29,4
iq,2012,30,4
iq,2012,31,4
iq,2012,32,4
iq,2012,33,5
iq,2012,34,7
iq,2012,35,6
iq,2012,36,7
iq,2012,37,8
iq,2012,38,9
iq,2012,39,13
iq,2012,40,18
iq,2012,41,16
iq,2012,42,22
iq,2012,43,25
iq,2012,44,23
iq,2012,45,23
iq,2012,46,21
iq,2012,47,20
iq,2012,48,17
iq,2012,49,18
iq,2012,50,17
iq,2012,51,14
iq,2013,1,27
iq,2013,2,29
iq,2013,3,31
iq,2013,4,36
iq,2013,5,25
iq,2013,6,19
iq,2013,7,20
iq,2013,8,12
iq,2013,9,9
iq,2013,10,9
iq,2013,11,8
iq,2013,12,8
iq,2013,13,10
iq,2013,14,8
iq,2013,15,12
iq,2013,16,8
iq,2013,17,8
iq,2013,18,6
iq,2013,19,6
iq,2013,20,5
iq,2013,21,5
iq,2013,22,4
iq,2013,23,4
iq,2013,24,5
iq,2013,25,4
iq,2013,26,4
